繪圖紅樓夢卷一 ||| Họa đồ Hồng Lâu Mộng, quyển thứ nhất.
一道道京而來生得骨格不凡丰神询異來到這青埂峯下席地坐談見若這塊鲜瑩明潔的石頭且又縮成扇墜一般甚配司愛那僧托 ||| Từng bước chân, hai vị đạo sĩ với cốt cách phi phàm, phong thái khác lạ, từ xa tiến đến chân núi Thanh Ngạnh, rồi ngồi xuống bên tảng đá mà đàm đạo. Ban đầu, họ bàn luận về núi mây, biển cả, thần tiên và những điều huyền bí, sau đó chuyển sang những vinh hoa phú quý chốn hồng trần.
於堂上笑道形體倒也是個靈物了只是没有實在的好處須得再鐫上幾個字使人人見了便知你是件奇物然後播你到那昌明隆盛 ||| Ngươi xem hình dáng cũng là vật báu, chỉ hiềm không có giá trị thực, vậy ta khắc thêm mấy chữ, để ai thấy cũng biết ngươi là vật lạ. Rồi ta sẽ đưa ngươi đến nơi phồn hoa đô hội, cho ngươi hưởng cảnh giàu sang phú quý.
之邦詩禮管纓之族花柳繁華地温柔富貴鄕那裏去走一遭石頭聽了大喜因間不知可鐫何字拙到何方望艺明示那僧笑道你且莫 ||| Nơi ấy là chốn phồn hoa đô hội, dòng dõi thi thư lễ nghĩa, lại là nơi phong lưu giàu có. Hòn đá nghe vậy mừng rỡ, bèn hỏi: "Không biết sư phụ định khắc chữ gì lên đá, và sẽ mang con đi đâu? Xin sư phụ cho con biết để con khỏi băn khoăn."
問图後自然明白說畢便袖了同那道人湘然而去竟不知投向何方又不知過了幾世幾劫因有個空空道人訪道求仙從這大荒山無 ||| Hỏi chuyện rồi tự nhiên hiểu ra, nói xong liền giấu hòn đá vào tay áo cùng đạo sĩ thong thả rời đi, chẳng biết đi về phương nào. Trải qua không biết bao nhiêu đời bao nhiêu kiếp, có một vị Không Không đạo nhân đi tìm đạo học tiên, từ núi Đại Hoang đến chân núi Thanh Ngạnh, chợt thấy một hòn đá lớn, trên mặt có khắc chữ kể rõ lai lịch.
稽岸靑通峯下經過忽見一塊大石上面字跡分明編优歷歷空空道人乃從頭一看原來是無才補天幻形入世被那茫茫大士渺渺眞 ||| Khi xưa, có vị Không Không đạo nhân đi ngao du sơn thủy, đến chân núi Thanh Ngạnh, chợt thấy một tảng đá lớn, trên mặt có khắc chữ kể rõ sự tình. Đạo nhân xem kỹ, biết rằng đây là hòn đá vô tài từng bị bỏ lại, nay muốn xuống trần làm người, đã được hai vị Mang Mang đạo sĩ, Diều Diều chân nhân đưa xuống nếm trải đủ mùi đời.
人攜入红塵引登彼岸的一塊頑石上面敍着墮落之鄕投胎之處以及家庭瑣事閨閣閑情詩詞謎語倒還全備只是朝代年纪失落無 ||| Hòn đá này kể lại chuyện nó xuống trần, đầu thai vào đâu, trải qua những gì, cả đến những việc vụn vặt trong gia đình, tình cảm, thơ phú trong khuê các, đều chép đủ cả, nhưng không rõ triều đại, địa phương nào.
考後面又有一偈云 ||| Lại phía sau có một bài kệ rằng:
無才可去補蒼天柱入红塵若許年此係身前身後事情誰記去作奇傳 ||| Hòn đá ấy vốn vô tài, không thể vá trời, đành ngậm ngùi tủi phận. Nó than khóc mãi, bỗng gặp một vị sư và một đạo sĩ, họ bàn chuyện thế sự, từ cõi tiên đến hồng trần vinh hoa phú quý.
空空道人看了一回曉得這石頭有些來歷遂向石頭說道石兄你這一段故事_據你自己說來有些趣味故_銅寫在此意欲問世傳奇據 ||| Không Không đạo nhân xem qua một lượt, biết hòn đá này có lai lịch, bèn nói với đá rằng: "Này Thạch huynh, câu chuyện của huynh kể rất thú vị, nên mới được khắc vào đây để lưu truyền cho đời sau.
繪圖紅樓夢卷一第一回 ||| Họa đồ Hồng Lâu Mộng, quyển một, hồi thứ nhất.
給圖紅樓剪卷一第一国 ||| Xin xem bức họa Hồng Lâu, một trang đầu tiên của quyển sách.
_我看來第一件無朝代年紀可考第二件_前無大賢大忠理朝廷治風俗的善政其中只不過_幾個_異樣女子或情或_癡或小才微善_________我總 ||| Theo ta thấy, thứ nhất, không có triều đại năm tháng nào để khảo cứu; thứ hai, đây chẳng phải là những việc làm tốt đẹp của bậc đại hiền đại trung để trị quốc an dân, mà chỉ là chuyện của vài ba người con gái kỳ lạ, hoặc đa tình, hoặc si mê, hoặc tài năng tầm thường, chứ không có đức hạnh của những bậc như Thái Cơ, Ban Tiệp Dư. Nếu ta chép lại, e rằng người đời sẽ chẳng thèm xem.
然鈔去也算不得一種奇書石頭果然答道我師何必太癡我想歷來野史的朝代無非假借漢唐的名色尊如我這石頭所記不借此套 ||| Nhưng mà, nếu cứ chép theo lối cũ thì có gì lạ? Sao bằng cứ ghi lại những gì mình đã trải qua, không cần mượn tích xưa, như vậy mới là điều mới mẻ, có phải không?
__只按自己的事馆情理友倒新鮮別致況且那野史中或訕謗君相或貶人妻女_姦淫内惡不可_勝數更有一種風月筆墨其淫穢污臭最 ||| Chỉ xét những chuyện mình đã trải qua, không theo lối cũ, lại thêm những chuyện dã sử xưa nay thường hay chê bai vua quan, hoặc nói xấu vợ con người ta, đầy rẫy những gian dâm hung ác, kể sao cho xiết; lại còn những ngòi bút chỉ viết về chuyện gió trăng dâm dục xấu xa, làm hư hỏng cả con em người ta.
___易城人子弟至於才子佳人等書則又開口文君滿篇子建千部__一___腔千人一面且終不能不涉_淫濫______________在作者不過要寫出自己的_兩首情_________________________________ ||| Những sách viết về tài tử giai nhân thì nghìn bộ như một, toàn những Phan An, Tử Kiến, Tây Thi, Văn Quân, cuối cùng vẫn không tránh khỏi dâm ô. Người viết chẳng qua muốn viết đôi ba bài thơ tình của mình, nên mới đặt ra một đôi trai gái, rồi thêm một thằng hề vào quấy rối.
詩能賦來故假犋出男女二人名姓又必旁添一小人撥亂其間如戲中小丑一般更可厭者之乎者也非理卽文大不近情自相矛盾竟 ||| Người làm sách chẳng qua muốn viết vài bài thơ tình của mình, nên đã cố ý đặt ra một đôi trai gái, rồi lại thêm một thằng tiểu nhân vào quấy rối, ví như vai hề trong tấn tuồng. Lại có những kẻ mở miệng là chi hồ giả dã, hết đạo lý đến văn chương, cho nên nếu xem từ đầu đến cuối thì toàn là những việc mâu thuẫn nhau chẳng có gì là hợp tình hợp lý hết.
___供酒其間離合悲激興衰際遇_____俱是按迹循蹤不敢稍加空磐________至失其眞_只願世人當那醉餘睡醒之時或避世消愁之際把此一玩不但 ||| Trong lúc mọi người tỉnh rượu, hoặc khi đêm tàn canh, hoặc khi muốn trốn đời tìm vui, họ có thể đem truyện này ra xem, may ra có thể giúp họ tránh khỏi những mộng ảo phù du, không phí hoài tuổi thọ, như vậy cũng là tránh được những lời khen chê của thế gian.
自色悟空遂政名特僧改石頭記爲情僧錄京魯孔梅溪_題日風月寶_鍋後团营雪芹於悦红軒中披閱十載增删五次菜成目绿分出章 ||| Tự Tình Tăng đổi danh, bèn đổi Thạch Đầu Ký thành Tình Tăng Lục. Khổng Mai Khê ở Đông Lỗ đề là Phong Nguyệt Bảo Giám. Sau, Tào Tuyết Cần tại duyệt Hồng Hiên, trải mười năm, năm lần nhuận sắc, biên soạn thành mục lục, phân chương hồi, lại đề là Kim Lăng Thập Nhị Hoa.
国又題國金陵十二釵並題一絶即此便是石頭記的綠起詩云 ||| Lại nói, sách này còn có tên là Kim Lăng thập nhị thoa, lại có một bài thơ rằng:
只以觀花博竹酌酒吟許爲樂到是神仙一流人物只是一件不足__年_過半百膝下無_纪只有一女乳名__英蓮年方三歲一日炎夏水書土 ||| Chỉ lấy việc ngắm hoa, trồng trúc, uống rượu ngâm thơ làm vui, ấy là bậc thần tiên tiêu sái. Tiếc thay, tuổi đã quá nửa đời người mà vẫn chưa có mụn con trai, chỉ có một mụn con gái tên Anh Liên, mới lên ba tuổi. Một ngày hè oi ả, Sĩ Ẩn đang ngồi đọc sách trong thư phòng.
德於書房閒坐手倦抛書伏几盹健不覺朦朧中走至一處不辦是何地万忽見那厢來了一僧一道且行且談只聽道人間道你棍子此 ||| Một hôm giữa lúc mùa hạ ngày dài, Sĩ Ẩn ngôi rỗi trong thư phòng, mỏi tay buông sách, ngủ gục xuống ghế. Trong khi mơ màng, thấy mình đi đến một chỗ không biết địa phương nào. Chợt gặp một nhà sư, một đạo sĩ, vừa đi vừa nói chuyện.
物意欲何往那僧笑道你放心如今現有一段風流公案正該了結這一于風流第家尙未投胎入世趁此機會就將此物夾帶於中使他 ||| Vị sư kia cười đáp: "Xin cứ yên tâm. Hiện giờ có một vụ phong lưu công án cần phải giải quyết. Nhân dịp có một đám phong lưu oan gia sắp sửa đầu thai, ta sẽ mang vật này theo để nó cũng được đầu thai vào cõi người."
_______________去經歷經歷那道人道原來近日風流免_家又將造劫歷世_恒不_知起於何虎落於何方那僧道此事說來好笑只因當年道個石頭媧是 ||| Lại nói, hai vị tăng đạo kia, sau khi bàn luận về những chuyện núi mây, bể mù, thần tiên, huyền ảo, bèn chuyển sang chuyện vinh hoa phú quý dưới cõi hồng trần. Hòn đá nghe thấy, trong lòng bỗng nảy sinh ý muốn hưởng lạc thú trần gian, nhưng lại tự ti vì hình hài thô kệch của mình.
未用自己却也落得逍遥自在各處去谐玩一日來到警幻仙子處那仙子知他有些來歷贸留他在赤霞宮中名他爲赤霞宮神瑛侍者 ||| Chưa dùng đến bản thân, nhưng cũng được tự do tự tại đi khắp nơi vui chơi, một ngày đến chỗ Cảnh Huyễn tiên tử, vị tiên tử biết người này có chút lai lịch, bèn giữ lại ở cung Xích Hà, đặt tên là Thần Anh thị giả cung Xích Hà.
__他却常民西万_板河岸上行走香見那强河学上三生石畔有稞絳珠仙草十__________分嬌娜可愛遂目以甘露灌溉追絳珠草始得久延滨月後 ||| Nhưng ngài lại thường lui tới bờ sông Linh Bà ở Tây phương, bên cạnh hòn đá Tam Sinh, thấy có một cây Giáng Châu tiên thảo, mười phần xinh đẹp đáng yêu, bèn dùng nước cam lộ tưới cho cây, nhờ đó cây Giáng Châu mới được sống lâu.
_來__厨生天地精華_復得_甘牌滋養遂_脫_了草_木___之胎幻化人形僅僅修成_女_髂終日遊__於離恨天外饑_餐__祕情果__渇_飮灌愁_水__只一尙未酬 ||| Vốn hấp thụ tinh hoa trời đất, lại thêm cam lộ tưới tắm, cây Giáng Châu thoát thai thành hình người, tu luyện thành tiên nữ, suốt ngày rong chơi cõi Ly Hận, đói ăn mật quả, khát uống nước quán sầu, chỉ vì chưa trả được ơn tưới tắm, nên trong lòng vẫn vương vấn, cảm thấy như còn mắc nợ tình xưa.
_____報速漑之德故甚至五内__酸結着一段纏綿不盡之意____常說自己_爱了他__雨露之惠我_並無此水可還他若下世爲人我也同去走一遭但 ||| Nàng Giáng Châu nói:"Chàng ra ơn mưa móc mà ta không có nước để trả lại. Chàng đã xuống trần làm người, ta cũng phải đi theo. Ta lấy hết nước mắt của đời ta để trả lại chàng, như thế mới trang trải xong!"
把我一生所有的眼淚還他也還得過了因此一事就勾出多少風流冤家都要下凡造歷幻缘那絳珠仙草也在其中今日這石正該下 ||| Vì thế dẫn ra bao nhiêu oan gia phong lưu đều phải xuống trần, để kết liễu án đó. Việc này lạ thật!
世我來特地將池仍帶到警幻仙子案前給他掛了號同道些情鬼下凡一了此案那道人道果然好笑從來不聞有還淚之說趁此你我 ||| Thế là ta đặc biệt mang hòn đá này đến trước mặt tiên Cảnh Huyễn để ghi danh, cùng với những tình ma sắp xuống trần để giải quyết mối tình duyên này. Vị đạo sĩ kia cười nói, thật là buồn cười, xưa nay chưa từng nghe chuyện trả nợ bằng nước mắt, nhân duyên này thật là hiếm có.
何不也下世度脫幾個豈不是一場功德那僧道正合吾意你且同我到警幻仙子宫中將這發物交割清楚待這一千風流孼鬼下世__你___ ||| Sao chúng ta không xuống trần siêu độ cho mấy kẻ ấy, chẳng phải là một việc công đức hay sao? Điều ông nói chính hợp ý tôi, chúng ta hãy đem vật xuẩn ngốc này đến cung vị tiên Cảnh ảo để giao dứt khoát, chờ cho bọn quỷ nghiệt phong lưu xuống trần hết đã, ta sẽ cùng ông xuống.
我再去如今__有一半落塵然猶未全集道人道旣如此便隨你去來_却說甄士隱俱_聽得明白_遂不_禁上前施禮笑問道二位仙師_______請了那 ||| Ta lại đi, hiện giờ... có một nửa đã rơi vào bụi trần, nhưng vẫn chưa hoàn toàn quy tụ. Đạo nhân nói đã như vậy thì cứ theo ngươi mà đi. Lại nói Chân Sĩ Ẩn đều nghe rõ ràng, bèn không nén được tiến lên thi lễ, cười hỏi: "Hai vị tiên sư xin mời!"
世道也忙答禮相問士隱因說道_適聞仙師所談因果實人世罕聞者但弟子愚拙不能洞悉明白若蒙大開癡頑備細一聞弟子洗耳諦 ||| Thế sự bận rộn, người người đáp lễ hỏi han. Sĩ Ẩn bèn kể lại: “Vừa rồi nghe tiên sư bàn về nhân quả, quả thực là điều hiếm thấy ở đời. Nhưng kẻ này ngu muội, không thể hiểu rõ được. Nếu được ngài khai sáng, giảng giải cặn kẽ, kẻ này xin rửa tai lắng nghe, may ra có thể ngộ ra đôi điều.”
聽稍能警省亦可免沉淪之苦了二仙笑道此乃元機不可預洩到那時_只要不忘了我二人便可跳出火坑矣士__隐美了不便再問因笑 ||| Nghe lời dạy bảo, nếu có thể tỉnh ngộ đôi chút, may ra cũng có thể tránh được nỗi khổ trầm luân. Hai vị tiên cười đáp: "Đó là cơ trời, không thể tiết lộ trước được. Đến khi đó, nếu không quên hai chúng ta, thì có thể thoát khỏi bể khổ."
__道__元樣告不可__洩露但_適云蠢物不知爲何或可_得見否那僧_說若問此物倒有一面之緣說着取出遞_與士隙士隱接了看時原來是塊 ||| Việc này là cơ trời, không thể tiết lộ được. Nếu đến lúc đó mà người còn nhớ đến chúng ta, thì có thể thoát khỏi bể khổ. Tuy cơ trời khó đoán, nhưng vừa rồi các vị có nhắc đến 'vật xuẩn ngốc', không biết nó là gì, có thể cho ta xem được chăng?
__________鲜明美玉上面字_蹟分明鐫着通靈寶玉四字_後面還有_幾行小字正欲細看時那僧便說已到幻境就強從手中奪了去和那道人竟過 ||| Trên viên ngọc sáng đẹp, khắc rõ bốn chữ 'Thông linh bảo ngọc', phía sau còn có mấy hàng chữ nhỏ.
了一座大石牌坊上面大書四字乃是大虛幻境兩邊又有一副對聯道 ||| Rồi cùng đạo sĩ đến một tòa nhà bia lớn, trên đó có đề bốn chữ lớn: "Thái Hư Ảo Cảnh", hai bên lại có đôi câu đối rằng:
__________假作眞時眞亦假無爲有處有還無 ||| Khi giả dối được xem là thật, thì cái thật cũng hóa ra giả dối. Nơi không có gì lại sinh ra có, rồi nơi có lại trở về không.
士隐意欲也跟_着過去方舉步時忽_聽一聲霹展_若山崩地陷士隱大叫一聲定睛_看_時但見烈日炎炎芭蕉冉再_夢中之事便志了_一半 ||| Sĩ Ẩn đang muốn cất bước đi theo, chợt một tiếng sét dữ dội như núi lở đất sụp. Sĩ Ẩn kêu lên một tiếng, mở choàng mắt ra, chỉ thấy trời nắng chang chang, rặng chuối phơ phất, những việc trong mộng đã quên mất một nửa.
大虛幻境銷號那僧道最妙最妙說_男二人一去再不見個蹤影了士隱心中此時自忖這兩_人必有來歷很該_問他一問如今後悔___却已 ||| Trong cõi hư ảo, hai vị tăng đạo kia biến mất dạng, chẳng còn chút dấu vết. Sĩ Ẩn trong lòng tự nhủ, hai người này ắt hẳn có lai lịch phi thường, đáng lẽ nên hỏi cho tường tận, giờ hối hận thì đã muộn màng.
晚了谊上穩正在癡想忽見隔壁葫蘆廟内寄居的一個窮儒姓賈名化表字時飛別號雨__村的走__來信賈雨村原係湖州人氏也是詩書 ||| Đến lúc ấy, Sĩ Ẩn đang ngẩn ngơ suy nghĩ, chợt thấy một nho sinh nghèo, trọ trong miếu Hồ Lô cạnh nhà, họ Giả tên Hóa, tự Thời Phi, hiệu Vũ Thôn, từ từ bước đến. Giả Vũ Thôn vốn người đất Hồ Châu, dòng dõi thư hương, nhưng vì gia cảnh sa sút, đành phải phiêu bạt tha phương.
給场红樓夢卷一第一回 ||| Xin giới thiệu tập Hồng Lâu Mộng, quyển một, hồi thứ nhất.
___三_______________________________________________ ||| Khi xưa Nữ Oa luyện đá vá trời ở đỉnh Vô Kê trên núi Đại Hoang, luyện được ba vạn sáu nghìn năm trăm linh một viên đá lớn, mỗi viên cao mười hai trượng, vuông hai mươi bốn trượng. Nhưng bà chỉ dùng ba vạn sáu nghìn năm trăm viên, còn thừa một viên bỏ lại ở chân núi Thanh Ngạnh. Ngờ đâu viên đá này từ khi được luyện, đã có linh tính.
給圖红樓夢卷一第一国 ||| Xin xem quyển thứ nhất của Hồng Lâu Mộng.
四 ||| Bốn
住富之族因他生於末世父母租宗根基已盡人口衰喪只剩得他一身一口在家鄕無益因進京求取功名再整基業自前歲來此又淹 ||| Vốn dòng thi thư thế hoạn, nhưng vì sinh vào lúc cảnh nhà sa sút, của hết người hiếm, chỉ còn trơ trọi một mình. Ở nhà cũng vô ích, Vũ Thôn bèn lên kinh mong lập công danh, dựng lại cơ nghiệp. Hắn đến đây tự năm ngoái, vì túng thiếu nên đành ở tạm trong miếu, hàng ngày bán chữ viết văn để sống.
蹇住了暫寄廟中安身每日賣文作字爲生故士隐常與他交接當下雨村兄了士隐忙施禮陪笑道老先生倚門佇望敢問市土有甚新 ||| Vũ Thôn vì túng thiếu nên đành ở tạm trong miếu, hàng ngày bán chữ viết văn để sống, bởi thế Sĩ Ẩn thường cùng hắn đi lại chơi bời. Vũ Thôn trông thấy Sĩ Ẩn, vội vàng chào hỏi:
開麽士隱笑道非也適因小女啼哭引他出來作耍正是無聊的很賈兄來得正好請入小齋彼此俱可消此永晝說者便令人送女兒進 ||| Chân Sĩ Ẩn cười đáp rằng: "Chẳng có gì, chỉ vì con gái nhỏ khóc nhè, ta bèn bế nó ra đây cho khuây khỏa. Đúng lúc ta đang buồn bực, lại gặp được hiền huynh đến chơi, xin mời vào trong nhà, ta cùng nhau đàm đạo cho hết ngày dài."
去自描了雨村來至書房中小童獻茶方談得三五句話忽家人_來報嚴老爺來拜士隐慌_忙起身謝_道恕_誆駕之罪且請略坐弟卽來______________奉 ||| Vừa khi Vũ Thôn đang ở thư phòng, tiểu đồng dâng trà, hai người mới nói chuyện được vài câu thì người nhà vào báo có Nghiêm lão gia đến thăm. Sĩ Ẩn vội vàng đứng dậy cáo lỗi với Vũ Thôn, xin phép ra tiếp khách rồi sẽ trở lại ngay.
陪雨村起身也讓道老先生請便晚生乃常造之客稍候何妨說者士隱已出前廳去了信裏雨村且翻弄詩籍解悶忽聽得窗外有女子 ||| Vũ Thôn cũng vội đứng dậy, khiêm nhường đáp lời: “Xin lão tiên sinh cứ tự nhiên, vãn sinh đến chơi, chờ đợi một lát cũng chẳng hề gì.”
________嗽_兴雨村遂起身往_外一看原來是一個丁_嬛在那__裏搯花兒生_的儀容不俗眉目清_秀雖無十分姿色__却也有動人之處雨村不覺看___得 ||| Vũ Thôn bèn đứng dậy nhìn ra, thấy một a hoàn đang hái hoa, dung mạo thanh tú, tuy không có vẻ đẹp tuyệt trần, nhưng cũng có vài phần khiến người ta phải động lòng, Vũ Thôn bất giác ngẩn ngơ ngắm nhìn.
呆了那甄家了__嬛搯了花兒方欲走時猛_搞頭見窗内有人敝门舊服雖是貧窘然生得腰厦背厚面闊口方更兼劍眉星眼直鼻_方腮這 ||| A hoàn hái hoa xong, toan bước đi, chợt ngẩng đầu thấy trong song cửa có người, tuy áo cũ khăn rách, nhưng lưng rộng vai dày, mặt vuông miệng rộng, mày kiếm mắt sao, mũi thẳng má vuông, khí khái hiên ngang.
_厂_娘忙轉身_迴避心下_自想這人生的信樣雄光_却又浦樣襤樓我家並無通様貧窘親友想他定是__主人常說的什_麽賈雨村了_____________怪道又 ||| Nàng vú già vội quay người đi chỗ khác, trong lòng thầm nghĩ: "Người này xem ra cũng có vẻ anh hùng hào kiệt, nhưng sao lại ăn mặc rách rưới thế kia? Nhà ta cũng không có người thân thích nghèo khó, chắc là cái ông Giả Vũ Thôn mà chủ nhân hay nhắc đến rồi."
___說他必非久困之人每每有意幫助周濟他只是沒有什麻棋會如此一想_不免又回頭一兩次雨村看他回頭便以爲道女子心中有意 ||| Nghĩ bụng, chủ nhân thường nói người này không phải kẻ chịu khốn khó mãi. Vì vậy, nàng lại quay đầu nhìn thêm lần nữa. Vũ Thôn thấy vậy, cho rằng nàng có ý với mình, trong lòng vui sướng khôn xiết, thầm nghĩ: "Cô nương này thật có mắt nhìn người, quả là tri kỷ giữa lúc phong trần!"
动他遂狂喜不禁自謂此女子必是個巨眼英豪風塵中之知己一時小童進來雨村打_聽得前面智飯不可久待遂從夾道中自便_門__出 ||| Vũ Thôn thấy a hoàn ngoảnh lại, cho là nàng có ý với mình, vui mừng khôn xiết, nghĩ bụng: "Người con gái này có mắt tinh đời, quả là người tri kỷ trong lúc phong trần".
去了士隐待客旣散知雨村_已去便也不去再邀一日__到了中秋佳節士際家宴已畢_叉另具一席_於書房_自己步月至廟中來邀雨村原 ||| Khi khách đã về, Sĩ Ẩn sai dọn một tiệc khác tại thư phòng, rồi một mình dạo trăng đến miếu mời Vũ Thôn.
_來雨村自那日見了甄家__了媛會回顧他兩次自_謂是信知已便時刻放在心上今又正值中秋不免對月有懊因而口占五言一律云 ||| Lại nói, từ khi Giả Vũ Thôn gặp a hoàn nhà họ Chân, trong lòng vẫn luôn tơ tưởng. Đúng vào dịp Trung Thu, ngắm trăng nhớ người, bèn ngâm một bài thơ ngũ ngôn.
未卜三生願頻添一段愁悶來時斂額行去_幾回頭自顧国前影誰堪月下售点光如有意先上市人鑕 ||| Chưa thỏa ba sinh nguyện ước, dạ sầu thêm nặng, 
Buồn rầu chau mày, bước đi ngoái lại. 
Trước gió bóng hình cô độc, dưới trăng ai bầu bạn?
_____有七八分酒意狂興不禁刀對月寓_懷口_占一絶云______________ ||| Khi ấy, Vũ Thôn đã ngà ngà say, hứng chí ngâm nga, trăng soi vằng vặc, lòng đầy cảm khái, bèn cất giọng ngâm rằng:
Đêm rằm trăng tỏ đoàn viên,
Ánh trăng lan tỏa khắp miền nhân gian.
Trăng vừa nhô bóng trên ngàn,
Trần gian ngửa mặt ngắm trăng sáng ngời.
時逄三五便璺菜滿把清光護王爛天上一齡纔棒出人間萬姓仰頭看 ||| Đêm rằm gặp buổi đoàn viên,
Trăng trong, soi khắp lan can ngoài.
Trăng vừa nhô lên khỏi trời,
Muôn người ngửa mặt ngắm trông dưới trần.
士隱_聽了大叫妙__極弟每謂兄必非久居人下者今所吟之句飛腾之兆已見不日可接履___於雲霄之上_了可賀可賀乃新斟一斗爲賀雨 ||| Sĩ Ẩn nghe vậy, khen hay vô cùng, rằng huynh quả là người phi phàm. Câu thơ này ứng vào điềm báo huynh sẽ sớm cất cánh bay cao, chẳng bao lâu sẽ lên đến mây xanh. Thật đáng mừng, đáng mừng thay! Rồi rót đầy một chén rượu để chúc mừng.
_村___飮乾忽歎道非晚生酒_後狂言若論時尚之學晚生也或可去充數_挂名只是_如今行_李路費一槪無措神京路遠非賴賣字撰文卽能_______________ ||| Lão hủ đây không phải là say rượu nói càn. Về con đường khoa cử, lão hủ cũng có thể chen chân vào bảng vàng. Chỉ tiếc là hiện tại không có lộ phí, không biết xoay sở ra sao. Đường đến kinh đô thì xa xôi, nếu chỉ dựa vào việc bán chữ viết văn thì làm sao đủ được?
